Volcano,Event,Magnitude,VEI,SampleID,SampleObservationID,IGSN,Location,Latitude,Longitude,Authors,DOI,TypeOfRegister,TypeOfAnalysis,AnalyzedMaterial,AnalyticalTechnique,TypeOfSection,SectionID,SubSectionID,SubSection_DistanceFromTop_cm,HistoricalAge,RadiocarbonAge,RadiocarbonAgeError,RadiocarbonLabCode,StratigraphicPosition,Ar40Ar39_Age,Ar40Ar39_Age_Error,DepositColor,DepositThickness_cm,GrainSize_min,GrainSize_max,SiO2,TiO2,Al2O3,FeO,Fe2O3,Fe2O3T,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,Cl,LOI,Total,SiO2_normalized,TiO2_normalized,Al2O3_normalized,FeOT_normalized,MnO_normalized,MgO_normalized,CaO_normalized,Na2O_normalized,K2O_normalized,P2O5_normalized,Cl_normalized,Total_normalization,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,La_Yb,Zr_Nb,Sr87_Sr86,Sr87_Sr86_2SE,Nd143_Nd144,Nd143_Nd144_2SE,MeasurementRun,Comments,Flag,FlagDescription
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-01,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.0,150.0,65.0,427.0,11.2,3.56,822.0,37.7,75.3,9.79,42.2,9.85,2.11,10.7,1.39,9.81,2.17,6.86,1.17,6.76,1.33,12.6,0.756,36.1,10.9,3.0,5.576923077,38.125,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-02,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,154.0,64.8,425.0,12.4,3.54,956.0,36.3,74.9,10.5,44.3,9.57,1.56,9.16,1.59,10.0,2.44,6.73,0.952,7.42,0.971,11.6,0.828,43.4,11.1,2.9,4.892183288,34.27419355,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-03,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,157.0,68.7,455.0,11.0,3.56,851.0,38.4,77.2,11.3,43.7,12.3,1.25,8.86,1.81,10.7,2.79,7.84,1.19,8.82,1.4,13.7,0.691,37.0,11.9,2.89,4.353741497,41.36363636,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-06,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.9,125.0,64.1,404.0,11.5,4.03,800.0,36.4,71.0,9.04,37.9,11.2,1.59,9.81,1.62,9.62,2.26,7.67,0.943,6.48,1.49,11.9,0.559,45.0,10.5,3.27,5.617283951,35.13043478,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-07,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.1,131.0,60.9,416.0,11.1,3.98,895.0,35.3,72.6,9.95,37.1,8.46,1.43,6.7,1.44,9.34,2.22,7.18,1.42,6.68,0.94,10.7,0.725,49.0,10.1,2.74,5.284431138,37.47747748,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-08,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,131.0,64.9,430.0,10.5,3.61,801.0,35.1,72.5,9.53,39.6,9.87,1.12,7.18,1.37,11.0,2.67,6.85,0.965,6.22,1.2,10.2,0.719,38.1,10.5,2.64,5.643086817,40.95238095,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-10,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.9,150.0,66.0,426.0,11.5,3.72,808.0,37.8,73.9,9.81,44.1,11.6,1.97,10.3,1.61,9.71,2.37,8.7,1.17,7.72,1.23,12.0,0.434,40.3,11.5,2.86,4.896373057,37.04347826,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-11,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.2,133.0,54.8,368.0,9.7,3.62,871.0,31.7,64.8,8.45,38.6,8.24,1.37,7.19,1.42,7.92,2.24,6.73,0.917,5.63,0.968,9.52,0.709,37.3,9.19,2.64,5.630550622,37.93814433,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-12,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,145.0,66.5,430.0,10.7,3.64,789.0,37.4,74.8,9.52,42.2,11.1,1.76,9.94,1.49,11.2,2.06,8.19,1.15,7.62,1.23,12.3,0.833,40.5,11.6,2.95,4.908136483,40.18691589,,,,,AllowayMay2014,,,
Puyehue-Cordón Caulle,PCC2011,5.0,,PCC-1,13-19-1-13,,"Bariloche (BSI),  km 7.600",-41.13,-71.401777,"Alloway et al., 2015",https://doi.org/10.1038/srep17589,Pyroclastic material,Micro Analytical,Glass shards,LA-ICP-MS,Outcrop,,,,2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,152.0,63.7,410.0,11.5,3.62,876.0,36.5,71.9,9.73,43.4,8.34,1.1,8.81,1.43,11.2,2.1,7.09,1.14,6.77,1.13,9.21,0.772,38.4,11.4,2.68,5.391432792,35.65217391,,,,,AllowayMay2014,,,
